NAME,DRIVE_DISTANCE,FWY_%,SG_P,SG_OTT,SG_APR,SG_ARG,GIR_Fairway_%,GIR_NotFairway_%,Sand_Save_Pct,avoid_three_putt
J.T. Poston,292.7,61.1,0.118,0.03,0.189,0.024,74.77,53.54,52.0,3.28
Nick Taylor,291.4,61.03,0.338,0.102,-0.083,0.04,78.81,52.73,47.22,2.33
Joaquin Niemann,300.1,61.58,-0.368,0.306,0.474,0.127,77.61,55.02,50.69,2.71
Sung Kang,298.9,61.71,0.055,0.217,0.199,-0.041,79.48,50.0,56.67,3.63
Joel Dahmen,291.4,69.0,0.005,0.246,0.196,-0.217,75.84,50.29,50.74,2.71
Troy Merritt,293.1,67.22,0.097,-0.003,0.287,0.283,77.53,53.46,50.0,2.36
Bubba Watson,312.3,58.63,-0.376,0.896,-0.127,-0.087,77.92,57.19,51.81,4.86
Danny Lee,301.1,55.78,-0.108,0.033,0.269,-0.121,80.18,50.45,54.03,4.01
Aaron Baddeley,286.3,57.74,0.654,-0.46,-0.34,0.46,75.9,50.46,54.55,2.02
Kevin Tway,304.1,56.35,-0.073,0.068,0.211,0.294,79.45,55.61,50.0,2.6
Jonas Blixt,289.3,64.31,0.137,0.055,-0.016,0.053,76.12,47.77,47.22,2.01
Hank Lebioda,293.6,65.61,-0.252,0.155,0.342,0.168,76.84,52.05,43.48,4.01
Billy Horschel,291.0,63.46,0.38,0.033,0.229,0.085,77.42,54.47,47.97,2.48
Dylan Frittelli,295.9,60.78,-0.281,0.282,0.224,0.163,78.24,57.27,47.66,3.17
Aaron Wise,304.5,61.35,-0.197,0.506,-0.083,0.096,81.3,51.29,47.22,2.73
Martin Laird,296.4,61.21,0.124,-0.042,0.036,0.102,82.12,52.23,48.48,3.2
Cameron Tringale,296.2,60.27,0.098,-0.131,0.432,0.109,78.43,60.86,54.22,2.92
Max Homa,299.0,56.38,0.061,0.29,0.284,-0.221,75.7,50.97,43.8,2.53
Matthew Fitzpatrick,286.5,66.89,-0.18,0.369,0.341,0.192,72.64,47.74,48.15,2.84
C.T. Pan,285.6,65.08,-0.046,-0.043,0.073,0.066,75.2,48.34,53.91,2.61
Sam Burns,307.6,57.26,0.374,0.341,-0.24,-0.296,78.42,47.02,40.65,1.83
Johnson Wagner,280.7,67.58,0.455,-0.186,-0.073,-0.27,78.6,57.75,42.03,3.19
Scott Brown,288.6,64.78,0.127,0.226,-0.026,-0.202,76.96,50.0,48.09,3.01
Matt Jones,293.7,62.21,0.188,0.361,-0.34,0.348,79.33,51.19,53.73,2.39
