,NAME,DRIVE_DISTANCE,FWY_%,SG_P,SG_OTT,SG_APR,SG_ARG,GIR_Fairway_%,GIR_NotFairway_%,Sand_Save_Pct,avoid_three_putt
0,Patrick Cantlay,1.5077223289787256,-0.7299379027388031,1.1621820548799862,1.6284354822427278,1.6720381569749632,1.480945796546395,0.7804537585825646,1.1558980417298301,0.8335616142520599,-1.3076413610131055
1,Rory McIlroy,2.408330281728669,-0.42557926332069146,0.8554347955152657,3.2560847804132256,1.9044926001435372,1.2187212124455424,0.8976455786537711,0.7818473030211261,0.3501988776557628,-1.3521408722386443
2,Dustin Johnson,2.048087100628693,-1.342532361695003,1.0618441663027411,2.1200074179318045,1.5509681344913309,0.7845460813933111,1.217259633393424,1.839949735121775,2.242266028099486,-1.5153057467322877
3,Webb Simpson,-0.7550551523055107,1.1214156045497081,1.2711203339067094,0.028095736054956483,1.3887343043632638,1.4508544508299037,-0.4553872530774399,-0.22245331049813172,1.8598797536003606,-1.1148101457024358
4,Matt Kuchar,-0.3497815735680334,1.4800547656474847,1.0618441663027411,0.6097891932870304,1.7592085731631786,0.5137239699448894,1.5191173517586578,0.43854046064464564,1.8631904572756781,-0.06165504669801091
5,Brooks Koepka,1.7103591183474642,-0.061124332042953596,-0.013204639882027075,1.1150159049674702,1.6405599511292188,0.234304331148899,1.2705286425167022,1.898875536425202,1.4791488309388943,0.8728346890383095
6,Adam Scott,0.640887174456906,-0.17162396546226805,1.2453191625582751,1.0412801146141086,1.7664727745121964,1.983901146379178,1.1639906242701512,0.45391240881075734,0.9560576502387917,1.2436639492511352
7,Justin Rose,1.2713127413818628,-0.7997271448983714,2.174161331101915,0.6698702076490286,1.175651064792071,0.3417734229935107,0.18384085640187103,-1.060224485551188,1.86153510543802,-1.767469643677009
8,Justin Thomas,0.8885543614631393,-0.10377331336268876,-0.9936491511225358,1.24883270968283,2.1684252491578553,1.489543323893964,2.392729101380382,1.3813532814994605,0.14327989794844395,0.9173342002638484
9,Jim Furyk,-2.0609366837929253,2.4319024851015785,0.7694308910204841,-0.17126399341894677,1.7471015709148152,0.6297905891370703,0.6703644730611268,-1.1037783386885034,0.048924843201906515,-0.5214833293619148
10,Xander Schauffele,1.2037671449256209,-0.2666148784016791,1.1191801026325954,1.511004408717004,0.8947686126300441,0.59110171607301,0.9615683896016998,0.9560627155703871,0.5736713757396673,-0.3434852844597583
11,Hideki Matsuyama,1.2375399431537386,-0.03979984138308601,-0.1880792456880827,1.0576658458037445,2.296759472990505,1.2960989585736629,0.4111219619945155,1.9782972686167748,0.42303435851273863,1.1398317563915443
12,Jon Rahm,1.4401767325224772,-0.10183472330270117,0.6146238629298777,1.9670739268285362,0.5315585451791475,0.5008276789235361,0.3258915473972757,-0.09179175108618778,0.03402667666298017,-0.8923125895747405
13,Paul Casey,0.4495079844975378,1.4626074551075923,-0.46042494325489064,1.8250642565183584,1.5485467340416583,0.7544547356768199,0.21580226187583784,1.77846194245733,-1.5832520687294243,0.027343975753067323
14,Rickie Fowler,1.1812519461068671,-0.2821235988815825,1.2997883020716365,0.6343677900714842,0.6744211717098335,0.6254918254632859,0.2797250728237664,0.6665576917752939,0.5620839128760574,-1.5301389171408006
15,Jason Day,1.0349031537850064,0.15793634473568774,1.0274426045048286,1.6366283478375458,0.27973289841319227,0.19131669441105434,2.1867555994370487,0.17465535045973793,0.3303346556038606,-0.5214833293619148
16,Tommy Fleetwood,0.5395687797725335,0.21803263659531394,0.7722976878369768,1.2652184408724658,0.7228491807032864,1.085459538558224,-0.0008250418921509939,-0.027741967060724817,2.235644620748852,0.36850689514886686
17,Gary Woodland,1.7779047148037062,0.5068825555335236,-0.165144871156141,1.541044915898003,1.5001187250482055,0.315980840950804,2.0198460375174507,0.20796123815297932,-0.38808804193995095,0.2943410431063014
18,Lucas Glover,0.04423440576006698,0.6038120585329221,0.7837648751029478,0.6753321180455739,0.8100195968915017,0.95649662834469,-0.22455488020990855,0.9099468710720521,0.7987992256612302,0.0570103165700934
19,Bryson DeChambeau,0.9223271596912633,1.0109159711303952,1.2309851784758115,1.1450564121484694,0.8584476058849545,-0.260053491336315,-0.5086562622007179,-0.696421712286558,-0.35498100518677944,0.7245029849531791
20,Sergio Garcia,1.1024487502412483,-0.7803412442984914,-0.42602338145697816,0.9675443242607472,2.069147830721277,-0.3933151652236336,-0.23875994930945105,0.043993791047793995,-0.9542183704191756,-1.4114735538726964
21,Tony Finau,2.0255719018099394,-1.309576330675207,-0.05333979531292509,0.8473822955367507,0.5509297487765284,-0.09670047173250518,0.20869972732606912,1.0687903354552013,-0.8979364079387843,-1.4856394059152616
22,Henrik Stenson,-1.0252375381304912,2.100403584843636,-0.013204639882027075,-0.851271837788836,2.8778955809119404,0.10964018460914939,-0.7821038423668666,-1.2754317598767426,-0.816824167893515,-0.38798479568529776
23,Chez Reavie,-0.777570351124258,2.5501564787608446,0.44834964757330004,0.473241433373398,1.3233564922221024,0.1354327666518562,-0.7750013078170979,-0.32749495629989195,0.010851750935760365,-0.5511496701789409
24,Scott Piercy,-0.21469038065554313,1.0613193126900835,0.3537453526290405,0.6944488044334824,0.4177527240445331,0.2944870225818816,0.6668132057862398,0.7229215017177011,0.007541047260442747,0.027343975753067323
25,Sungjae Im,0.06674960457881429,0.6813556609324394,0.5171527711691253,0.9320419066832029,0.20709088492301292,1.1585385210125598,-0.7039759623193955,1.8092058387895533,-0.6512889841276599,0.32400738392332745
